"year","iso3c","country","region","rank","eci.value","gdp_real","gdp_nominal","population","gdpr_pc","gdpn_pc"
1994,"sgp","Singapore","ASEAN",19,1.12039,70000285.3885565,73234886.3815535,3389.124,20654.3889773748,21608.7951876513
1994,"mex","Mexico","AP",23,0.820486,661172270.187716,527316144.528337,93541.577,7068.21812708712,5637.23812918331
1994,"ury","Uruguay","MERCOSUR",26,0.688604,15680711.5230446,19298684.4236126,3201.235,4898.3319009834,6028.51225343113
1994,"bra","Brazil","MERCOSUR",28,0.669794,667814227.439532,573703865.22105,159432.909,4188.68495612491,3598.40304501406
1994,"sau","Saudi Arabia","ARAB LEAGUE",34,0.46051,227353014.187499,134147881.446667,18197.011,12493.9757517044,7371.97342171563
1994,"omn","Oman","ARAB LEAGUE",41,0.344128,21727517.2555998,12775839.3520915,2109.246,10301.0825933058,6057.06463451466
1994,"arg","Argentina","MERCOSUR",42,0.341526,150462389.563579,257695548.085185,34399.343,4373.99021148686,7491.29272861941
1994,"jor","Jordan","ARAB LEAGUE",44,0.33084,7434181.1562995,6236725.0753413,4153.717,1789.7659268312,1501.48049935547
1994,"lbn","Lebanon","ARAB LEAGUE",46,0.29651,15870067.9812365,8923420.009444,2974.647,5335.10967225237,2999.82485634228
1994,"mys","Malaysia","ASEAN",48,0.262712,82046487.7058253,80472548.4768385,20206.546,4060.39150411086,3982.49896230848
1994,"ven","Venezuela","MERCOSUR",54,0.13717,118876547.697554,57162982.70896,21626.607,5496.77291946693,2643.17850271011
1994,"col","Colombia","AP",55,0.134558,111426835.837587,95308779.5572499,35915.434,3102.47777703555,2653.69978704002
1994,"qat","Qatar","ARAB LEAGUE",56,0.126833,17279802.1464551,7374450.5494505,495.106,34901.2174089086,14894.6903278298
1994,"chl","Chile","AP",59,0.089813,72755348.9367687,57903019.3072121,14204.726,5121.91146360505,4076.3207475605
1994,"tun","Tunisia","ARAB LEAGUE",60,0.0845727,19402703.3183649,17163868.1398673,8834.117,2196.33759869435,1942.90704321295
1994,"tha","Thailand","ASEAN",61,0.0381673,129030783.775253,146428033.592842,58491.145,2205.98833849556,2503.42224609968
1994,"per","Peru","AP",64,-0.168272,52650242.2412346,44909870.6150342,23511.358,2239.35351761623,1910.13511916386
1994,"pan","Panama","SICA",66,-0.275014,9814717.6113918,8844964.384,2700.823,3633.97290803277,3274.91449236029
1994,"pry","Paraguay","MERCOSUR",68,-0.303608,6425625.7366914,6941028.9043288,4691.695,1369.57447930682,1479.42884273782
1994,"tto","Trinidad and Tobago","CARICOM",70,-0.321752,7240948.544656,4947232.139906,1250.316,5791.29479640027,3956.78543656644
1994,"egy","Egypt","ARAB LEAGUE",71,-0.334148,58452973.0182796,56527978.5306339,60231.864,970.465948360482,938.506212104508
1994,"phl","Philippines","ASEAN",72,-0.360303,66039127.5237027,71002678.8011205,68050.807,970.438565463341,1043.37746944163
1994,"are","United Arab Emirates","ARAB LEAGUE",75,-0.413382,93907566.8351276,59305116.2645056,2232.159,42070.2856898311,26568.4999431069
1994,"cub","Cuba","OTROS LAC",76,-0.428586,26090562.5305417,28448326.7959459,10878.823,2398.28909161788,2615.01881186466
1994,"idn","Indonesia","ASEAN",78,-0.471696,202188475.608944,194352050.093144,NA,NA,NA
